pretrain_optimizer,run_folder,run_path,pretrain_base_path,finetune_type,finetune_optimizer,name_suffix,checkpoint_step,tensor_category,tensor_category_label,count,count_l_inf,mean_l_inf,var_l_inf,std_l_inf,min_l_inf,max_l_inf,count_l2,mean_l2,var_l2,std_l2,min_l2,max_l2,count_rms_rms_induced,mean_rms_rms_induced,var_rms_rms_induced,std_rms_rms_induced,min_rms_rms_induced,max_rms_rms_induced
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,kv,Attention KV proj,54,54,0.02780518708405671,0.0002446170491929498,0.015640238143741603,0.00897216796875,0.07763671875,54,3.1985225294340274,2.2858752006175314,1.5119111087023376,1.5335042281215354,5.980415807448548,54,0.8324222033297788,0.11890590817189368,0.34482735995261987,0.46192537143509305,1.8542142977512655
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,o,Attention O proj,27,27,0.011992560492621528,9.794291168546828e-06,0.0031295832260137815,0.009429931640625,0.023162841796875,27,3.55461991348007,0.22589873510634492,0.4752880548744571,3.123479206060567,4.903013315867782,27,1.2113069693247478,0.16893017582471662,0.41101116265220417,0.9204089641571045,2.421203136444092
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,mlp,MLP / MoE experts,5073,5073,0.0005866642325393974,4.704827135007291e-05,0.006859174246953704,0.0,0.232177734375,5073,0.06465168609173312,0.26696281948127304,0.5166844486543727,0.0,7.689631003913574,5073,0.021551213492046275,0.0322204967476508,0.17950068731804567,0.0,2.9016589823595726
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,norm,LayerNorm / RMSNorm,82,82,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,embed,Embedding / LM head,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,q,Attention Q proj,27,27,0.013513935936821831,7.92085309816078e-06,0.0028144010194286065,0.01016998291015625,0.0185546875,27,3.885641535318851,0.1745821140836423,0.41783024553476533,3.0772352142834123,4.746184874864658,27,1.8617398977531703,0.28413959007300965,0.5330474557419909,1.1362592339359672,2.8831170891648115
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,kv,Attention KV proj,54,54,0.01740801775896991,5.942041342030196e-05,0.007708463752285663,0.00750732421875,0.03125,54,2.8279471509135905,1.9873952905929464,1.409750080898365,1.2637872422161323,4.7705448957425105,54,1.2389512933607976,0.17957088980694766,0.423758055742835,0.5832076063253754,2.21009194655042
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,o,Attention O proj,27,27,0.012261567292390045,6.136080141357039e-06,0.0024771112492895913,0.0081787109375,0.02184295654296875,27,3.036348943981675,0.13026418944530754,0.3609213064440884,2.235937185973886,3.9995557121062,27,1.728500834217778,0.08502841561501813,0.29159632304783634,1.2943975925445557,2.498547315597534
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,mlp,MLP / MoE experts,5073,5073,0.0003293438021680342,1.1424097273055162e-05,0.0033799552176109024,0.0,0.12109375,5073,0.0842992183029745,0.8113326492463216,0.9007400564237841,0.0,38.637551450371156,5073,0.06273589633348975,0.5401294127148815,0.7349349717593261,0.0,32.86059817424653
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,adamw,,2000,norm,LayerNorm / RMSNorm,82,82,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,embed,Embedding / LM head,2,2,0.0356292724609375,0.0004930612631142139,0.022204982844267498,0.019927978515625,0.05133056640625,2,37.79238300645019,2356.356700440913,48.54231865538473,3.4677803107093905,72.11698570219099,2,2.6106635047478344,12.826025002655543,3.5813440218241452,0.07827086115407866,5.14305614834159
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,q,Attention Q proj,27,27,0.015800034558331524,1.7512764547960392e-06,0.0013233580221527503,0.013519287109375,0.0186309814453125,27,4.447500262665037,0.05210749763826543,0.22827066749423902,3.864394286982273,4.878728565556997,27,1.0025126084727178,0.021114079532679794,0.14530684613148753,0.850470616379913,1.5649872745685423
